,Гос. номер,Марка,Модель,Кузов,Цвет,КПП,"Двигатель, л.с.",VIN,СТС,Год,Дата регистрации,Собственник,ПТС,Сервисная кн.,ОСАГО Ресо-Гарантия,до,"Премия, руб.",КАСКО Ресо-Гарантия,до,Страховая сумма,"Премия, руб.",%,Повреждения,"Емкость топливного бака, л."
CDAR,Х691ОН777,Опель,Астра,Седан,Синий,АКП,116,XUFPD5DD7F3001917,7733№479782,2015,9/17/2015,VT,78ОК№514043,есть,ЕЕЕ№0350469378,9/2/2016,11115.36,SYS970223145,9/2/2016,756000,62325,8.24,"Крышка багажника-царапины сверху.Крыло прав.заднее-потертость,царапины выше лючка,потертость рядом с дверью.Дверь прав.зад.-царапина.Дверь прав.перед.-царапины,вмятина.Дверь лев.зад.-царапины.Бампер перед.-потертость справа рядом с колесом,потертости справа внизу под поворотником.Стекло лобовое(слева внизу)-скол.Сиденья зад.-пятна.Резина Michelin 205/60R16.Диски литые.",55
CDAR,Х646ОН777,Опель,Астра,Седан,Черный,АКП,116,XUFPD5DD3F3002269,7733№479784,2015,9/17/2015,VT,78ОM№152484,,ЕЕЕ№0353862597,9/2/2016,11115.36,SYS970222503,9/2/2016,770000,62377.5,8.10,"Бампер зад.лев.сторона в районе фонаря-потертость.Крыло зад.лев.-потертость переходящая в бампер.Дверь перед.лев.-царапины в районе ручки и в центре.Бампер перед.-вмятина с разрывом слева,потертость молдинга (накладки),отсутствует рамка номер.знака.Капот-мелкие сколы.Дверь перед.прав.-мелкие царапины.Дверь  перед.лев.-мелкие царапины.Крыло зад.прав.-царапины,потертость в районе зад.бампера.Бампер.зад-потертость.Крыло зад.прав-царапина.Дверь зад.левая-потертость.Крышка лючка-царапина.Резина Michelin 205/60R16.Диски литые.",55
CDAR,X651OH777,Опель,Астра,Седан,Черный,АКП,116,XUFPD5DD1F3002271,7733№479780,2015,9/17/2015,VT,78ОM№153497,есть,ЕЕЕ№0353862598,9/2/2016,11116.36,SYS970223321,9/2/2016,755000,62321,8.25,"Крышка багажника-царапины.Бампер зад-справа притертость.Крыло зад.прав.-царапины.Дверь зад.прав.-царапины.Дверь перед.прав.-притертости,царапины.Крыло перед.прав.-притертости,царапины.Крыло зад.лев.-царапины, вмятина.Дверь зад.лев.-притертости,царапины.Дверь перед.лев.-притертости,царапины.Капот-царапины,сколы.Бампер перед.-царапины внизу.Крыша-потертости.Салон-царапины на пластике дверей и порогов.Резина Continental 205/60 R16.Диски литые.",55
CDAR,X671OH777,Опель,Астра,Седан,Коричнев,АКП,116,XUFPD5DD1F3002254,7733№479781,2015,9/17/2015,VT,78ОM№152481,есть,ЕЕЕ№0350469376,9/2/2016,11116.36,SYS970222914,9/2/2016,755000,62321.25,8.25,"Крыша-притертости,царапины.Крышка багажника-сверху притертости,царапины.Крыло зад.прав.-вмятина,притертость над колесом.Крыло перед.прав.-притертость.Крыло зад.лев.-царапины.Дверь зад.лев.-царапины.Дверь перед.лев.-царапины.Капот-царапины.Бампер перед.-сколы,царапины.Резина Michelin 205/60R16.Диски литые.",55
CDAR,X680OH777,Опель,Астра,Седан,Серый,АКП,116,XUFPD5DD6F3001939,7733№479785,2015,9/17/2015,VT,78ОM№514042,,ЕЕЕ№0350469377,9/2/2016,11116.36,SYS970223008,9/2/2016,756000,62325,8.24,"Бампер зад.-потертость в районе багажника.Царапины в центре,снизу слева и справа.Дверь перед.лев.-царапины.Крыло перед.лев-вмятина.Капот-мелкие сколы,поврежд.ЛКП.Дверь перед.прав.-потертости 4 шт.верт.Дверь зад.прав.-потертость 1 шт.верт.Крыло зад.прав.-царапина в районе лючка бензобака.Диски литые.",55
CDAR,X661OH777,Опель,Астра,Седан,Черный,АКП,116,XUFPD5DD9F3002261,7733№479783,2015,9/17/2015,VT,78ОM№152694,есть,ЕЕЕ№0353862596,9/2/2016,11116.36,SYS970222829,9/2/2016,755000,62321.25,8.25,"Фонарь зад.прав.-трещина.Бампер зад.-царапины лево,право.Бампер перед,юбка-задиры,потертости.Крыло зад.прав.-царапина.Лючек бензобака-не закрывается.Резина Continental 205/60R16.Диски литые.",55
EDAR,Т244СК777,Ниссан,Альмера,Седан,Черный,АКП,102,Z8NAJL11054658076,7741№413229,2015,4/18/2016,VT,39ОВ№239361,,ЕЕЕ№0373137448,4/15/2017,,,,,,,Резина АМТ Planet 185/65 R15,50
EDAR,T214CK777,Ниссан,Альмера,Седан,Черный,АКП,102,Z8NAJL11054658070,7741№413228,2016,4/18/2016,VT,39ОВ№239358,,ЕЕЕ№0373137449,4/15/2017,,,,,,,Бампер зад.верх.часть-потертость.Резина АМТ Planet 185/65 R15,50
EDAR,С730СО777,Ниссан,Альмера,Седан,Серебристый,АКП,102,Z8NAJL11054869461,7741№485752,2016,5/21/2016,VT,78OH№901481,,,,,,,,,,NONE,50
EDAR,C711CO777,Ниссан,Альмера,Седан,Белый,АКП,102,Z8NAJL11055071652,7741№485747,2016,5/21/2016,VT,78OH№933765,,,,,,,,,,NONE,50
EDAR,C650CO777,Ниссан,Альмера,Седан,Белый,АКП,102,Z8NAJL11055071679,7741№485750,2016,5/21/2016,VT,78OH№933768,,,,,,,,,,NONE,50
EDAR,C739CO777,Ниссан,Альмера,Седан,Белый,АКП,102,Z8NAJL11055071653,7741№485746,2016,5/21/2016,VT,78OH№933763,,,,,,,,,,NONE,50
EDAR,C734CO777,Ниссан,Альмера,Седан,Белый,АКП,102,Z8NAJL11055071626,7741№485266,2016,5/21/2016,VT,78OH№933762,,,,,,,,,,NONE,50
EDAR,C684CO777,Ниссан,Альмера,Седан,Белый,АКП,102,Z8NAJL11055071628,7741№485265,2016,5/21/2016,VT,78OH№933773,,,,,,,,,,NONE,50
EDAR,C738CO777,Ниссан,Альмера,Седан,Белый,АКП,102,Z8NAJL11055071618,7741№485649,2016,5/21/2016,VT,78OH№933772,,,,,,,,,,NONE,50
